,Zip Code,Home Value
3,90001,381400.0
4,90002,378400.0
5,90003,402600.0
6,90004,1379700.0
7,90005,781700.0
8,90006,657500.0
9,90007,660900.0
10,90008,838000.0
11,90010,
12,90011,415000.0
13,90012,574300.0
14,90013,597100.0
15,90014,597100.0
16,90015,656100.0
17,90016,736600.0
18,90017,635900.0
19,90018,702900.0
20,90019,1121700.0
21,90020,581400.0
22,90022,454600.0
23,90023,428300.0
24,90024,1252400.0
25,90025,968900.0
26,90026,953100.0
27,90027,1485600.0
28,90028,901300.0
29,90029,930600.0
30,90031,629100.0
31,90032,620300.0
32,90033,489400.0
33,90034,1264800.0
34,90035,1512600.0
35,90036,1739100.0
36,90037,477800.0
37,90038,1024400.0
38,90039,1046000.0
39,90040,459000.0
40,90041,904200.0
41,90042,755800.0
42,90043,659800.0
43,90044,434900.0
44,90045,1201000.0
45,90046,1516600.0
46,90047,497600.0
47,90048,1891800.0
48,90049,2646900.0
49,90051,
50,90056,1335200.0
51,90057,496100.0
52,90059,392300.0
53,90061,418500.0
54,90062,572800.0
55,90063,483200.0
56,90064,1602500.0
57,90065,810200.0
58,90066,1430600.0
59,90067,1178900.0
60,90068,1444000.0
61,90077,2565700.0
62,90094,1010300.0
63,90272,3037000.0
64,90291,2056100.0
65,90293,765000.0
66,90731,636700.0
67,90732,632900.0
68,90744,464200.0
69,91040,625300.0
70,91042,632700.0
71,91303,516600.0
72,91304,633700.0
73,91306,565800.0
74,91311,637600.0
75,91316,706700.0
76,91324,622300.0
77,91325,702800.0
78,91326,780800.0
79,91331,484600.0
80,91335,547200.0
81,91342,523700.0
82,91343,594400.0
83,91344,647900.0
84,91345,540600.0
85,91352,548100.0
86,91356,982000.0
87,91364,905600.0
88,91367,762800.0
89,91401,797800.0
90,91402,492300.0
91,91403,1085300.0
92,91405,582000.0
93,91406,599500.0
94,91411,730400.0
95,91423,1114200.0
96,91436,1652600.0
97,91601,735100.0
98,91602,911300.0
99,91604,1363500.0
100,91605,580000.0
101,91606,640300.0
102,91607,898400.0
